Name,Age,Gender,Residential Area,Parents
Aya Tsuji,N/A,Female,Morioh Grand Hotel,N/A
Hayato Kawajiri,11,Male,Morioh Grand Hotel,N/A
Koichi Hirose,15,Male,Morioh Grand Hotel,N/A
Mikitaka Hazekura,216,Male,Morioh Grand Hotel,N/A
Okuyasu Nijimura,15,Male,Morioh Grand Hotel,N/A
Reimi Sugimoto,16,Female,Morioh Grand Hotel,N/A
Rohan Kishibe,20,Male,Morioh Grand Hotel,N/A
Shigekiyo Yangu,14,Male,Morioh Grand Hotel,N/A
Tamami Kobayashi,20,Male,Morioh Grand Hotel,N/A
Tonio Trussardi,29,Male,Morioh Grand Hotel,N/A
Toshikazu Hazamada,18,Male,Morioh Grand Hotel,N/A
Yukako Yamagishi,N/A,Female,Morioh Grand Hotel,N/A
Yuya Fungami,N/A,Male,Morioh Grand Hotel,N/A
